Nome completo,Continente,País,Década principal de impacto,Ano de nascimento,Período de atividade documentado,Principal impacto (resumo),Setor de atuação (categoria),Instituição/Organização de vínculo,Local de nascimento/residência,Principais obras/contribuições (máx. 3 linhas),Links de comprovação (1 por linha),Qualidade da evidência (Alto/Médio/Baixo)
Lise Getoor,América do Norte,United States,1950s,1950,,American computer scientist,artificial intelligence researcher; computer scientist; teacher,,Seattle,,https://en.wikipedia.org/wiki/Lise_Getoor,Médio
Yolanda Gil,América do Norte,Spain,1960s,1963,,Spanish-born American computer scientist,computer scientist; university teacher,,Madrid,,https://en.wikipedia.org/wiki/Yolanda_Gil,Médio
Anna C. Gilbert,América do Norte,United States,1970s,1972,,American mathematician,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Anna_C._Gilbert,Médio
Jen Golbeck,América do Norte,United States,1970s,1976,,American computer scientist,author; computer scientist; university teacher,,Crystal Lake,,https://en.wikipedia.org/wiki/Jen_Golbeck,Médio
Adele Goldberg (computer scientist),América do Norte,United States,1940s,1945,,American computer scientist,computer scientist,,Cleveland,,https://en.wikipedia.org/wiki/Adele_Goldberg_(computer_scientist),Médio
Andrea Goldsmith (engineer),América do Norte,United States,1960s,1964,,American electrical engineer,academic; computer scientist; electrical engineer; electrotechnician; university teacher,,California,,https://en.wikipedia.org/wiki/Andrea_Goldsmith_(engineer),Médio
Adele Goldstine,América do Norte,United States,1920s,1920,,American computer programmer (1920–1964),computer scientist; mathematician,,New York City,,https://en.wikipedia.org/wiki/Adele_Goldstine,Médio
Polina Golland,América do Norte,,1970s,1971,,Researcher in biomedical image analysis Israeli-American,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Polina_Golland,Médio
Amy Ashurst Gooch,América do Norte,,1970s,1973,,Canadian academic,computer scientist,,,,https://en.wikipedia.org/wiki/Amy_Ashurst_Gooch,Médio
Susan L. Graham,América do Norte,United States,1940s,1942,,American computer scientist,computer scientist; engineer; university teacher,,Cleveland,,https://en.wikipedia.org/wiki/Susan_L._Graham,Médio
Evelyn Boyd Granville,América do Norte,United States,1920s,1924,,American academic (1924–2023),computer scientist; mathematician; university teacher,,"Washington, D.C.",,https://en.wikipedia.org/wiki/Evelyn_Boyd_Granville,Médio
Kristen Grauman,América do Norte,,1970s,1979,,Computer vision and machine learning researcher,computer scientist,,,,https://en.wikipedia.org/wiki/Kristen_Grauman,Médio
Diane Greene,América do Norte,United States,1950s,1955,,American businesswoman,computer scientist; engineer,,Rochester,,https://en.wikipedia.org/wiki/Diane_Greene,Médio
Sheila Greibach,América do Norte,United States,1930s,1939,,American computer scientist,computer scientist; university teacher,,New York City,,https://en.wikipedia.org/wiki/Sheila_Greibach,Médio
Irene Greif,América do Norte,United States,1940s,1940,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Irene_Greif,Médio
Nancy D. Griffeth,América do Norte,United States,1940s,1945,,American computer scientist and mathematician,computer scientist,,Oak Park,,https://en.wikipedia.org/wiki/Nancy_D._Griffeth,Médio
Margaret Gurney,América do Norte,United States,1900s,1908,,American mathematician,computer scientist; statistician,,"Washington, D.C.",,https://en.wikipedia.org/wiki/Margaret_Gurney,Médio
Laura M. Haas,América do Norte,United States,1950s,1956,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Laura_M._Haas,Médio
Lois Haibt,América do Norte,United States,1930s,1934,,American computer scientist,computer scientist,,Chicago,,https://en.wikipedia.org/wiki/Lois_Haibt,Médio
Ashawna Hailey,América do Norte,United States,1940s,1949,,American computer scientist and philanthropist,computer scientist,,Lubbock,,https://en.wikipedia.org/wiki/Ashawna_Hailey,Médio
Margaret Hamilton (software engineer),América do Norte,United States,1930s,1936,,United States software engineer (born 1936),businessperson; computer scientist; engineer; mathematician,,Paoli,,https://en.wikipedia.org/wiki/Margaret_Hamilton_(software_engineer),Médio
Dianne Hansford,América do Norte,,1960s,1964,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Dianne_Hansford,Médio
Vicki L. Hanson,América do Norte,United States,1950s,1951,,American computer scientist,computer scientist,,Indianapolis,,https://en.wikipedia.org/wiki/Vicki_L._Hanson,Médio
Mor Harchol-Balter,América do Norte,,1960s,1966,,American computer scientist (born 1966),computer scientist,,Jerusalem,,https://en.wikipedia.org/wiki/Mor_Harchol-Balter,Médio
Ann Hardy,América do Norte,United States,1930s,1933,,American computer programmer (1933–2023),programmer,,Chicago,,https://en.wikipedia.org/wiki/Ann_Hardy,Médio
Margaret Helen Harper,América do Norte,United States,1910s,1919,,American computer programmer,programmer,,Michigan,,https://en.wikipedia.org/wiki/Margaret_Helen_Harper,Médio
Mary Jean Harrold,América do Norte,United States,1940s,1947,,American computer scientist,computer scientist; engineer; university teacher,,,,https://en.wikipedia.org/wiki/Mary_Jean_Harrold,Médio
Catherine Havasi,América do Norte,United States,1980s,1981,,American AI scientist,artificial intelligence researcher; computer scientist,,Pittsburgh,,https://en.wikipedia.org/wiki/Catherine_Havasi,Médio
Mary K. Hawes,América do Norte,United States,1900s,1901,,Computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Mary_K._Hawes,Médio
Paula Hawthorn,América do Norte,United States,1940s,1943,,American computer scientist,computer scientist,,Oklahoma City,,https://en.wikipedia.org/wiki/Paula_Hawthorn,Médio
Barbara Hayes-Roth,América do Norte,,1940s,1949,,American computer scientist,computer scientist; psychologist,,,,https://en.wikipedia.org/wiki/Barbara_Hayes-Roth,Médio
Marlene Hazle,América do Norte,United States,1930s,1934,,American computer scientist (1934 – 2011),computer scientist; programmer,,Toledo,,https://en.wikipedia.org/wiki/Marlene_Hazle,Médio
Sandra Mitchell Hedetniemi,América do Norte,,1940s,1949,,American mathematician and computer scientist,computer scientist; mathematician; teacher,,,,https://en.wikipedia.org/wiki/Sandra_Mitchell_Hedetniemi,Médio
Edith Hemaspaandra,América do Norte,,1960s,1964,,Dutch-American theoretical computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Edith_Hemaspaandra,Médio
Nadia Heninger,América do Norte,,1980s,1982,,"American cryptographer, computer security expert",computer scientist; cryptographer; university teacher,,,,https://en.wikipedia.org/wiki/Nadia_Heninger,Médio
Starr Roxanne Hiltz,América do Norte,United States,1940s,1942,,American academic,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Starr_Roxanne_Hiltz,Médio
Julia Hirschberg,América do Norte,United States,1950s,1950,,American computer scientist,computer scientist,,Liberty,,https://en.wikipedia.org/wiki/Julia_Hirschberg,Médio
Thea D. Hodge,América do Norte,United States,1920s,1922,,American computer scientist,computer scientist,,Atlantic City,,https://en.wikipedia.org/wiki/Thea_D._Hodge,Médio
Betty Holberton,América do Norte,United States,1910s,1917,,American computer scientist (1917–2001),computer scientist; mathematician; programmer,,Philadelphia,,https://en.wikipedia.org/wiki/Betty_Holberton,Médio
Grace Hopper,América do Norte,United States,1900s,1906,,American computer scientist and naval officer (1906–1992),computer scientist; mathematician; naval officer; physicist; programmer; university teacher,,New York City,,https://en.wikipedia.org/wiki/Grace_Hopper,Médio
Susan B. Horwitz,América do Norte,United States,1950s,1955,,"American computer scientist, academic, educator",computer scientist,,Berkeley,,https://en.wikipedia.org/wiki/Susan_B._Horwitz,Médio
Ayanna Howard,América do Norte,United States,1970s,1972,,American roboticist (born 1972),artificial intelligence researcher; computer scientist; engineer; roboticist,,,,https://en.wikipedia.org/wiki/Ayanna_Howard,Médio
Adele Howe,América do Norte,,1960s,1961,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Adele_Howe,Médio
Sandra Hutchins,América do Norte,United States,1940s,1946,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Sandra_Hutchins,Médio
Lila Ibrahim,América do Norte,United States,1960s,1969,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Lila_Ibrahim,Médio
Nicole Immorlica,América do Norte,,1970s,1978,,Theoretical computer scientist,computer scientist; engineer; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Nicole_Immorlica,Médio
Leah Jamieson,América do Norte,United States,1940s,1949,,American engineer,computer scientist; engineer,,Trenton,,https://en.wikipedia.org/wiki/Leah_Jamieson,Médio
Samantha John,América do Norte,United States,1980s,1985,,American entrepreneur,programmer,,,,https://en.wikipedia.org/wiki/Samantha_John,Médio
Katherine Johnson,América do Norte,United States,1910s,1918,,American NASA employee (1918–2020),computer scientist; mathematician; military flight engineer; physicist; teacher,,White Sulphur Springs,,https://en.wikipedia.org/wiki/Katherine_Johnson,Médio
Lynne Jolitz,América do Norte,United States,1960s,1961,,American computer scientist (born 1961),computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Lynne_Jolitz,Médio
Anita K. Jones,América do Norte,United States,1940s,1942,,American computer scientist and former U.S. government official,computer scientist,,Fort Worth,,https://en.wikipedia.org/wiki/Anita_K._Jones,Médio
Nataša Jonoska,América do Norte,North Macedonia,1960s,1961,,Macedonian mathematician and computer scientist,computer scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Nataša_Jonoska,Médio
Leslie P. Kaelbling,América do Norte,United States,1960s,1961,,American roboticist,artificial intelligence researcher; computer scientist; editing staff; university teacher,,,,https://en.wikipedia.org/wiki/Leslie_P._Kaelbling,Médio
Delaram Kahrobaei,América do Norte,,1970s,1975,,Mathematician,computer scientist; professor,,,,https://en.wikipedia.org/wiki/Delaram_Kahrobaei,Médio
Anna Karlin,América do Norte,United States,1960s,1960,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Anna_Karlin,Médio
Lydia Kavraki,América do Norte,United States,1960s,1967,,Greek computer scientist,biologist; computer scientist; physicist; university teacher,,Crete,,https://en.wikipedia.org/wiki/Lydia_Kavraki,Médio
Mary Kenneth Keller,América do Norte,United States,1910s,1913,,First American woman to receive a PhD in computer science,computer scientist; mathematician; religious sister; university teacher,,Cleveland,,https://en.wikipedia.org/wiki/Mary_Kenneth_Keller,Médio
Julie A. Kientz,América do Norte,,1980s,1980,,American computer scientist,academic; computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Julie_A._Kientz,Médio
Maria Klawe,América do Norte,Canada,1950s,1951,,Canadian-American academic administrator,academic administrator; computer scientist; mathematician; university teacher,,Toronto,,https://en.wikipedia.org/wiki/Maria_Klawe,Médio
Daphne Koller,América do Norte,Israel,1960s,1968,,Israeli-American computer scientist,artificial intelligence researcher; computer scientist; engineer; university teacher,,Jerusalem,,https://en.wikipedia.org/wiki/Daphne_Koller,Médio
Milly Koss,América do Norte,United States,1920s,1928,,American computing pioneer,computer scientist,,,,https://en.wikipedia.org/wiki/Milly_Koss,Médio
Helene Kulsrud,América do Norte,,1930s,1933,,Computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Helene_Kulsrud,Médio
Mary Lacity,América do Norte,United States,1960s,1963,,Blockchain researcher,professor; researcher,,Atlantic City,,https://en.wikipedia.org/wiki/Mary_Lacity,Médio
Monica S. Lam,América do Norte,United States,1950s,1950,,American computer scientist,academic; computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Monica_S._Lam,Médio
Susan K. Land,América do Norte,,1960s,1963,,American software engineer,computer scientist; software engineer,,,,https://en.wikipedia.org/wiki/Susan_K._Land,Médio
Susan Landau,América do Norte,United States,1950s,1954,,American mathematician and engineer,computer scientist; mathematician,,New York City,,https://en.wikipedia.org/wiki/Susan_Landau,Médio
Svetlana Lazebnik,América do Norte,,1970s,1979,,Ukrainian-American researcher,computer scientist; university teacher,,Kyiv,,https://en.wikipedia.org/wiki/Svetlana_Lazebnik,Médio
Crystal Lee,América do Norte,United States,1990s,1991,,American computer scientist,beauty pageant contestant,,San Francisco,,https://en.wikipedia.org/wiki/Crystal_Lee,Médio
Su-In Lee,América do Norte,,1970s,1979,,South Korean and American computer scientist (born 1979),academic; computer scientist,,,,https://en.wikipedia.org/wiki/Su-In_Lee,Médio
Kristina Lerman,América do Norte,,1960s,1967,,American computer scientist,researcher,,,,https://en.wikipedia.org/wiki/Kristina_Lerman,Médio
Sandy Lerner,América do Norte,United States,1950s,1955,,American entrepreneur and animal rights activist,businessperson; computer scientist,,California,,https://en.wikipedia.org/wiki/Sandy_Lerner,Médio
Nancy Leveson,América do Norte,United States,1940s,1944,,American computer scientist,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Nancy_Leveson,Médio
Jaime Levy,América do Norte,United States,1960s,1966,,"American multimedia artist, interface designer and user experience strategist",adviser; computer scientist; university teacher,,Hollywood,,https://en.wikipedia.org/wiki/Jaime_Levy,Médio
Fei-Fei Li,América do Norte,United States,1970s,1975,,Chinese-American computer scientist (born 1976),computer scientist; scientist; university teacher,,Beijing,,https://en.wikipedia.org/wiki/Fei-Fei_Li,Médio
Barbara Liskov,América do Norte,United States,1930s,1939,,American computer scientist,computer scientist; engineer; university teacher,,Los Angeles,,https://en.wikipedia.org/wiki/Barbara_Liskov,Médio
Jane Liu,América do Norte,Taiwan,1930s,1935,,Chinese-American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Jane_Liu,Médio
Ling Liu (computer scientist),América do Norte,,1960s,1960,,Chinese-American computer scientist,computer scientist; opinion journalist; programmer; university teacher,,,,https://en.wikipedia.org/wiki/Ling_Liu_(computer_scientist),Médio
Kimber Lockhart,América do Norte,United States,1980s,1987,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Kimber_Lockhart,Médio
Patricia D. Lopez,América do Norte,United States,1950s,1950,,American computer scientist,computer scientist,,Española,,https://en.wikipedia.org/wiki/Patricia_D._Lopez,Médio
Janice Lourie,América do Norte,United States,1930s,1930,,American computer scientist,clarinetist; computer scientist; graphic artist; weaver,,Chelsea,,https://en.wikipedia.org/wiki/Janice_Lourie,Médio
Julie Beth Lovins,América do Norte,,1940s,1945,,Computational linguist,computational linguist,,,,https://en.wikipedia.org/wiki/Julie_Beth_Lovins,Médio
Nancy Lynch,América do Norte,United States,1940s,1948,,American computer scientist,computer scientist; mathematician; university teacher,,Brooklyn,,https://en.wikipedia.org/wiki/Nancy_Lynch,Médio
Tal Malkin,América do Norte,,1970s,1970,,Israeli-American cryptographer,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Tal_Malkin,Médio
Mary Ann Mansigh,América do Norte,United States,1930s,1932,,American computer programmer (1932–2024),programmer,,Otter Tail County,,https://en.wikipedia.org/wiki/Mary_Ann_Mansigh,Médio
Lynn Martin (banker),América do Norte,United States,1970s,1976,,Exchange executive and computer programmer,banker,,,,https://en.wikipedia.org/wiki/Lynn_Martin_(banker),Médio
Alexia Massalin,América do Norte,United States,1960s,1962,,American computer scientist and programmer,computer scientist; engineer,,Astoria,,https://en.wikipedia.org/wiki/Alexia_Massalin,Médio
Maja Matarić,América do Norte,United States,1960s,1965,,American computer scientist,computer scientist; roboticist; university teacher,,Belgrade,,https://en.wikipedia.org/wiki/Maja_Matarić,Médio
Yoky Matsuoka,América do Norte,United States,1970s,1971,,Japanese computer scientist,computer scientist; engineer; researcher; tennis player,,Japan,,https://en.wikipedia.org/wiki/Yoky_Matsuoka,Médio
Marissa Mayer,América do Norte,United States,1970s,1975,,"American business executive and engineer, former CEO of Yahoo!",business executive; computer scientist; engineer,,Wausau,,https://en.wikipedia.org/wiki/Marissa_Mayer,Médio
Gayle Laakmann McDowell,América do Norte,United States,1980s,1982,,"Consultant, coder, author and speaker",computer scientist,,,,https://en.wikipedia.org/wiki/Gayle_Laakmann_McDowell,Médio
Jessica McKellar,América do Norte,United States,1980s,1987,,"American software developer, engineering manager, and author",author; engineer; manager; programmer; software engineer,,Fremont,,https://en.wikipedia.org/wiki/Jessica_McKellar,Médio
Kathryn S. McKinley,América do Norte,United States,1960s,1962,,American computer scientist,computer scientist; engineer; university teacher,,Owensboro,,https://en.wikipedia.org/wiki/Kathryn_S._McKinley,Médio
Diana McSherry,América do Norte,United States,1940s,1945,,American computer scientist and biophysicist,biophysicist; computer scientist,,,,https://en.wikipedia.org/wiki/Diana_McSherry,Médio
Ulrike Meier Yang,América do Norte,,1950s,1959,,German-American applied mathematician and computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Ulrike_Meier_Yang,Médio
Marlyn Meltzer,América do Norte,United States,1920s,1922,,Programmer for the ENIAC computer,computer scientist; engineer; mathematician,,Philadelphia,,https://en.wikipedia.org/wiki/Marlyn_Meltzer,Médio
Rebecca Mercuri,América do Norte,,1950s,1954,,American expert in computer security,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Rebecca_Mercuri,Médio
Joan L. Mitchell,América do Norte,United States,1940s,1947,,American computer scientist and inventor,computer scientist; inventor,,Modesto,,https://en.wikipedia.org/wiki/Joan_L._Mitchell,Médio
Charlotte Davis Mooers,América do Norte,United States,1920s,1924,,American computer scientist,computer scientist,,"Washington, D.C.",,https://en.wikipedia.org/wiki/Charlotte_Davis_Mooers,Médio
Anca Mosoiu,América do Norte,,1970s,1974,,Technical consultant and web developer,consultant; web developer,,,,https://en.wikipedia.org/wiki/Anca_Mosoiu,Médio
Melba Roy Mouton,América do Norte,United States,1920s,1929,,American mathematician (1929–1990),academic; computer scientist; mathematician,,Fairfax,,https://en.wikipedia.org/wiki/Melba_Roy_Mouton,Médio
Tamara Munzner,América do Norte,United States,1960s,1960,,American computer scientist,computer scientist; researcher; teacher; university teacher,,Minneapolis,,https://en.wikipedia.org/wiki/Tamara_Munzner,Médio
Robin Murphy,América do Norte,United States,1950s,1957,,American computer scientist,computer scientist; science fiction writer,,Mobile,,https://en.wikipedia.org/wiki/Robin_Murphy,Médio
Elizabeth Mynatt,América do Norte,United States,1960s,1966,,American academic,computer scientist,,Knoxville,,https://en.wikipedia.org/wiki/Elizabeth_Mynatt,Médio
Caryn Navy,América do Norte,United States,1950s,1953,,American mathematician and computer scientist,computer scientist; mathematician; topologist,,Brooklyn,,https://en.wikipedia.org/wiki/Caryn_Navy,Médio
Klára Dán von Neumann,América do Norte,Hungary,1910s,1911,,Hungarian-American mathematician (1911–1963),computer scientist; figure skater; inventor; mathematician,,Budapest,,https://en.wikipedia.org/wiki/Klára_Dán_von_Neumann,Médio
Dianne P. O'Leary,América do Norte,United States,1950s,1951,,American mathematician,computer scientist; mathematician,,Chicago,,https://en.wikipedia.org/wiki/Dianne_P._O'Leary,Médio
Elaine Oran,América do Norte,United States,1940s,1946,,"American aerospace engineer, computer scientist, physicist",computer scientist; physicist,,Rome,,https://en.wikipedia.org/wiki/Elaine_Oran,Médio
Angela Orebaugh,América do Norte,United States,1970s,1973,,American computer scientist and author,computer scientist,,,,https://en.wikipedia.org/wiki/Angela_Orebaugh,Médio
Radia Perlman,América do Norte,United States,1950s,1951,,American software designer and network engineer,computer scientist; mathematician; telecommunications engineer,,Portsmouth,,https://en.wikipedia.org/wiki/Radia_Perlman,Médio
Linda Petzold,América do Norte,United States,1950s,1954,,American mathematician,computer scientist; mathematician,,Chicago,,https://en.wikipedia.org/wiki/Linda_Petzold,Médio
Rosalind Picard,América do Norte,United States,1960s,1962,,American computer scientist,artificial intelligence researcher; computer scientist; engineer; university teacher,,Massachusetts,,https://en.wikipedia.org/wiki/Rosalind_Picard,Médio
Catherine Plaisant,América do Norte,France,1950s,1957,,French American computer scientist,author; computer scientist; researcher; university teacher,,France,,https://en.wikipedia.org/wiki/Catherine_Plaisant,Médio
Martha Pollack,América do Norte,United States,1950s,1958,,American computer scientist,computer scientist; university president,,Stamford,,https://en.wikipedia.org/wiki/Martha_Pollack,Médio
Diane Pozefsky,América do Norte,United States,1900s,1901,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Diane_Pozefsky,Médio
Jenny Preece,América do Norte,United States,1940s,1949,,American computer scientist,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Jenny_Preece,Médio
Teresa Przytycka,América do Norte,,1950s,1958,,Polish-American computational biologist,computational biologist; computer scientist,,,,https://en.wikipedia.org/wiki/Teresa_Przytycka,Médio
Hairong Qi,América do Norte,People's Republic of China,1970s,1970,,Chinese computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Hairong_Qi,Médio
Allison Randal,América do Norte,United States,1950s,1950,,American computer scientist,author; businessperson; computer scientist; engineer; programmer,,,,https://en.wikipedia.org/wiki/Allison_Randal,Médio
Dana Randall,América do Norte,United States,1900s,1901,,American computer scientist,computer scientist; engineer,,Queens,,https://en.wikipedia.org/wiki/Dana_Randall,Médio
Sofya Raskhodnikova,América do Norte,,1970s,1976,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Sofya_Raskhodnikova,Médio
Elizabeth Rather,América do Norte,United States,1940s,1940,,American computer scientist,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Elizabeth_Rather,Médio
Carol E. Reiley,América do Norte,United States,1980s,1982,,"American businesswoman, computer scientist, and model",artificial intelligence researcher; programmer; roboticist,,Flint,,https://en.wikipedia.org/wiki/Carol_E._Reiley,Médio
Jennifer Rexford,América do Norte,United States,1960s,1969,,American computer scientist,computer scientist; university teacher,,Honolulu,,https://en.wikipedia.org/wiki/Jennifer_Rexford,Médio
Joyce K. Reynolds,América do Norte,United States,1950s,1952,,American computer scientist (1952–2015),computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Joyce_K._Reynolds,Médio
Ida Rhodes,América do Norte,Russian Empire,1900s,1900,,American mathematician,computer scientist; mathematician,,Kamianets-Podilskyi,,https://en.wikipedia.org/wiki/Ida_Rhodes,Médio
Sibyl M. Rock,América do Norte,United States,1900s,1909,,American inventor (1909–1981),computer scientist,,Butte,,https://en.wikipedia.org/wiki/Sibyl_M._Rock,Médio
Arianna W. Rosenbluth,América do Norte,United States,1920s,1927,,American physicist and computer scientist (1927-2020),computer scientist; nuclear physicist; physicist,,Houston,,https://en.wikipedia.org/wiki/Arianna_W._Rosenbluth,Médio
Jeanne W. Ross,América do Norte,United States,1950s,1958,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Jeanne_W._Ross,Médio
Ronitt Rubinfeld,América do Norte,United States,1960s,1964,,American computer scientist,computer scientist,,Dayton,,https://en.wikipedia.org/wiki/Ronitt_Rubinfeld,Médio
Cynthia Rudin,América do Norte,United States,1970s,1976,,American computer scientist and statistician,computer scientist; researcher,,,,https://en.wikipedia.org/wiki/Cynthia_Rudin,Médio
Daniela Rus,América do Norte,United States,1960s,1963,,American computer scientist,computer scientist; roboticist; university teacher,,Cluj-Napoca,,https://en.wikipedia.org/wiki/Daniela_Rus,Médio
Jean E. Sammet,América do Norte,United States,1920s,1928,,American computer scientist,computer scientist; mathematician,,New York City,,https://en.wikipedia.org/wiki/Jean_E._Sammet,Médio
Lucy Sanders,América do Norte,United States,1950s,1954,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Lucy_Sanders,Médio
Tamar Schlick,América do Norte,United States,1960s,1961,,American mathematician,bioinformatician; chemist; computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Tamar_Schlick,Médio
Claire Kelly Schultz,América do Norte,United States,1920s,1924,,American documentalist,computer scientist; documentalist,,Goldsboro,,https://en.wikipedia.org/wiki/Claire_Kelly_Schultz,Médio
Patricia Selinger,América do Norte,United States,1940s,1949,,American computer scientist and IBM Fellow,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Patricia_Selinger,Médio
Stephanie Seneff,América do Norte,United States,1940s,1948,,American anti-vaccination activist,anti-vaccine activist; computer scientist,,Columbia,,https://en.wikipedia.org/wiki/Stephanie_Seneff,Médio
Cheryl L. Shavers,América do Norte,United States,1950s,1953,,American chemist,chemist; computer scientist,,San Marcos,,https://en.wikipedia.org/wiki/Cheryl_L._Shavers,Médio
Mary Shaw (computer scientist),América do Norte,United States,1940s,1943,,American software engineer,computer scientist; engineer; university teacher,,"Washington, D.C.",,https://en.wikipedia.org/wiki/Mary_Shaw_(computer_scientist),Médio
Sally Shlaer,América do Norte,United States,1930s,1938,,American computer scientist,computer scientist; engineer,,Cleveland,,https://en.wikipedia.org/wiki/Sally_Shlaer,Médio
Hava Siegelmann,América do Norte,United States,1960s,1964,,Computer scientist,computer scientist,,Haifa,,https://en.wikipedia.org/wiki/Hava_Siegelmann,Médio
Ruth Silverman,América do Norte,United States,1930s,1936,,American mathematician,academic; computer scientist,,Brooklyn,,https://en.wikipedia.org/wiki/Ruth_Silverman,Médio
Barbara Simons,América do Norte,United States,1940s,1941,,American computer scientist,computer scientist,,Boston,,https://en.wikipedia.org/wiki/Barbara_Simons,Médio
Kimmen Sjölander,América do Norte,United States,1950s,1955,,American bio-engineer,bioinformatician; computer scientist,,,,https://en.wikipedia.org/wiki/Kimmen_Sjölander,Médio
Cynthia Solomon,América do Norte,United States,1930s,1938,,Computer scientist,artificial intelligence researcher; computer scientist; teacher,,Somerville,,https://en.wikipedia.org/wiki/Cynthia_Solomon,Médio
Diane Souvaine,América do Norte,United States,1950s,1954,,Computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Diane_Souvaine,Médio
Frances Spence,América do Norte,United States,1920s,1922,,American physicist and computer scientist,computer scientist; engineer; mathematician; physicist; programmer,,Philadelphia,,https://en.wikipedia.org/wiki/Frances_Spence,Médio
Carol Spradling,América do Norte,,1950s,1950,,American computer scientist,academic; computer scientist,,,,https://en.wikipedia.org/wiki/Carol_Spradling,Médio
Katherine St. John,América do Norte,United States,1960s,1966,,Computer scientist,bioinformatician; computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Katherine_St._John,Médio
Kate Starbird,América do Norte,United States,1970s,1975,,American computer scientist and former basketball player,academic; basketball player; computer scientist; university teacher,,West Point,,https://en.wikipedia.org/wiki/Kate_Starbird,Médio
Lauren States,América do Norte,United States,1950s,1956,,American computer scientist,,,,,https://en.wikipedia.org/wiki/Lauren_States,Médio
Kathryn Strutynski,América do Norte,,1930s,1931,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Kathryn_Strutynski,Médio
Krysta Svore,América do Norte,United States,1970s,1979,,American computer scientist,computer scientist,,Seattle,,https://en.wikipedia.org/wiki/Krysta_Svore,Médio
Carolyn Talcott,América do Norte,United States,1940s,1941,,American computer scientist (born 1941),computer scientist; executive,,Caldwell,,https://en.wikipedia.org/wiki/Carolyn_Talcott,Médio
Michela Taufer,América do Norte,,1970s,1971,,American computer scientist,researcher,,,,https://en.wikipedia.org/wiki/Michela_Taufer,Médio
Valerie Taylor (computer scientist),América do Norte,United States,1960s,1963,,American computer scientist,computer scientist,,Chicago,,https://en.wikipedia.org/wiki/Valerie_Taylor_(computer_scientist),Médio
Jaime Teevan,América do Norte,,1970s,1976,,American computer scientist (born 1976),computer scientist,,,,https://en.wikipedia.org/wiki/Jaime_Teevan,Médio
Ruth Teitelbaum,América do Norte,United States,1920s,1924,,American computer programmer and mathematician,computer scientist; engineer; mathematician; programmer,,The Bronx,,https://en.wikipedia.org/wiki/Ruth_Teitelbaum,Médio
Kaya Thomas,América do Norte,United States,1990s,1995,,American computer scientist,computer scientist,,Staten Island,,https://en.wikipedia.org/wiki/Kaya_Thomas,Médio
Emina Torlak,América do Norte,United States,1970s,1979,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Emina_Torlak,Médio
Dana Ulery,América do Norte,United States,1930s,1938,,American computer scientist,computer scientist; researcher,,East St. Louis,,https://en.wikipedia.org/wiki/Dana_Ulery,Médio
Jayshree Ullal,América do Norte,United Kingdom,1960s,1961,,British-American chief executive,businessperson,,London,,https://en.wikipedia.org/wiki/Jayshree_Ullal,Médio
Dorothy Vaughan,América do Norte,United States,1910s,1910,,American human computer and computer programmer (1910–2008),computer scientist; mathematician; programmer,,Kansas City,,https://en.wikipedia.org/wiki/Dorothy_Vaughan,Médio
